user_id,full_name,email,phone,recency,frequency,monetary,last_order_date,cluster,label
2,Hoang Duc Khanh 1,user1@gmail.com,0900000001,0,4,8870000.0,2026-01-04 16:48:26.463,2,VIP
3,Nguyen Thi Binh 2,user2@gmail.com,0900000002,116,5,5787000.0,2025-09-10 00:00:00.000,2,VIP
4,Pham Thu Tuan 3,user3@gmail.com,0900000003,210,1,800000.0,2025-06-08 00:00:00.000,0,Vãng lai
5,Vo Thanh Thinh 4,user4@gmail.com,0900000004,257,1,1424000.0,2025-04-22 00:00:00.000,0,Vãng lai
6,Nguyen Thi Nam 5,user5@gmail.com,0900000005,1,1,1345000.0,2026-01-03 16:48:26.463,1,Thường xuyên
7,Phan Huu Thinh 6,user6@gmail.com,0900000006,336,1,2636000.0,2025-02-02 00:00:00.000,0,Vãng lai
8,Le Minh Hung 7,user7@gmail.com,0900000007,169,2,2569000.0,2025-07-19 00:00:00.000,1,Thường xuyên
9,Vo Van Quan 8,user8@gmail.com,0900000008,119,4,6490000.0,2025-09-07 00:00:00.000,2,VIP
11,Huynh Huu Tuan 10,user10@gmail.com,0900000010,2,4,5861000.0,2026-01-02 16:48:26.463,2,VIP
12,Le Hai Son 11,user11@gmail.com,0900000011,3,4,4814000.0,2026-01-01 16:48:26.463,2,VIP
13,Phan Thi Quan 12,user12@gmail.com,0900000012,99,2,5629000.0,2025-09-27 00:00:00.000,1,Thường xuyên
15,Huynh Thanh Thinh 14,user14@gmail.com,0900000014,102,1,1686000.0,2025-09-24 00:00:00.000,1,Thường xuyên
16,Phan Hai Nam 15,user15@gmail.com,0900000015,163,3,6092000.0,2025-07-25 00:00:00.000,2,VIP
17,Le Huu Nam 16,user16@gmail.com,0900000016,329,1,1248000.0,2025-02-09 00:00:00.000,0,Vãng lai
18,Huynh Ngoc Thao 17,user17@gmail.com,0900000017,161,2,2391000.0,2025-07-27 00:00:00.000,1,Thường xuyên
19,Vo Minh Nam 18,user18@gmail.com,0900000018,124,2,4487000.0,2025-09-02 00:00:00.000,1,Thường xuyên
22,Nguyen Thanh Quan 21,user21@gmail.com,0900000021,176,2,3075000.0,2025-07-12 00:00:00.000,1,Thường xuyên
23,Vu Thi Tuan 22,user22@gmail.com,0900000022,1,1,1277000.0,2026-01-03 16:48:26.463,1,Thường xuyên
24,Huynh Van Hung 23,user23@gmail.com,0900000023,118,4,5139000.0,2025-09-08 00:00:00.000,2,VIP
25,Phan Thu Nam 24,user24@gmail.com,0900000024,259,1,673000.0,2025-04-20 00:00:00.000,0,Vãng lai
26,Huynh Thi Vy 25,user25@gmail.com,0900000025,175,3,3088000.0,2025-07-13 00:00:00.000,1,Thường xuyên
27,Phan Hai Hung 26,user26@gmail.com,0900000026,123,1,2132000.0,2025-09-03 00:00:00.000,1,Thường xuyên
28,Tran Duc Thinh 27,user27@gmail.com,0900000027,2,1,2462000.0,2026-01-02 16:48:26.463,1,Thường xuyên
30,Dang Hai Son 29,user29@gmail.com,0900000029,0,2,4464000.0,2026-01-04 16:48:26.463,1,Thường xuyên
31,Hoang Duc Nam 30,user30@gmail.com,0900000030,328,1,1183000.0,2025-02-10 00:00:00.000,0,Vãng lai
32,Le Xuan Phuc 31,user31@gmail.com,0900000031,273,3,4323000.0,2025-04-06 00:00:00.000,0,Vãng lai
33,Huynh Duc Minh 32,user32@gmail.com,0900000032,121,2,3977000.0,2025-09-05 00:00:00.000,1,Thường xuyên
34,Phan Thi Tuan 33,user33@gmail.com,0900000033,283,1,1401000.0,2025-03-27 00:00:00.000,0,Vãng lai
37,Le Xuan Lan 36,user36@gmail.com,0900000036,244,1,429000.0,2025-05-05 00:00:00.000,0,Vãng lai
39,Le Thanh Vy 38,user38@gmail.com,0900000038,145,1,1560000.0,2025-08-12 00:00:00.000,1,Thường xuyên
40,Vu Minh Giang 39,user39@gmail.com,0900000039,236,1,286000.0,2025-05-13 00:00:00.000,0,Vãng lai
41,Pham Huu Quan 40,user40@gmail.com,0900000040,150,3,2923000.0,2025-08-07 00:00:00.000,1,Thường xuyên
42,Vu Hai Khanh 41,user41@gmail.com,0900000041,117,2,2051000.0,2025-09-09 00:00:00.000,1,Thường xuyên
43,Huynh Duc Quan 42,user42@gmail.com,0900000042,2,5,7092000.0,2026-01-02 16:48:26.463,2,VIP
44,Tran Duc Phong 43,user43@gmail.com,0900000043,198,2,2697000.0,2025-06-20 00:00:00.000,0,Vãng lai
45,Hoang Minh Phong 44,user44@gmail.com,0900000044,350,2,3756000.0,2025-01-19 00:00:00.000,0,Vãng lai
46,Phan Thanh An 45,user45@gmail.com,0900000045,312,1,2537000.0,2025-02-26 00:00:00.000,0,Vãng lai
47,Vo Huu Lan 46,user46@gmail.com,0900000046,197,2,2668000.0,2025-06-21 00:00:00.000,0,Vãng lai
49,Phan Duc Cuong 48,user48@gmail.com,0900000048,267,1,4071000.0,2025-04-12 00:00:00.000,0,Vãng lai
50,Nguyen Thu Son 49,user49@gmail.com,0900000049,164,3,4584000.0,2025-07-24 00:00:00.000,2,VIP
51,Phan Thi Hanh 50,user50@gmail.com,0900000050,115,1,662000.0,2025-09-11 00:00:00.000,1,Thường xuyên
52,Tran Xuan Cuong 51,user51@gmail.com,0900000051,100,1,212000.0,2025-09-26 00:00:00.000,1,Thường xuyên
53,Vo Hai An 52,user52@gmail.com,0900000052,326,1,985000.0,2025-02-12 00:00:00.000,0,Vãng lai
55,Hoang Duc Dung 54,user54@gmail.com,0900000054,310,1,454000.0,2025-02-28 00:00:00.000,0,Vãng lai
